,knee,thigh,pelvis
0,392.3639875308222,52.14975843574088,22.892828037644296
1,455.5967031350693,70.49574585693856,30.66332794690524
2,351.44050885200943,61.6677053754176,19.07945734959366
3,393.73862957060567,64.6269803790367,25.339637077308545
4,306.63047221770546,71.01629477991759,24.47278821253878
5,326.49711691089004,79.06555174746816,28.074527600028436
6,327.3649728459039,86.92520255746447,31.055791419485573
7,254.90886034974793,84.94221852046132,29.530798247389342
8,257.4279466081134,81.98845203757138,30.20077568468428
9,256.57434972178356,101.11976421102892,36.20543443304814
